,X,Y,Z
0,5.227,1.435,213.894
1,4.899,1.531,213.02
2,5.117,1.535,213.602
3,5.008,1.635,213.311
4,5.008,1.738,213.311
5,5.008,1.84,213.311
6,5.008,1.942,213.311
7,5.008,2.044,213.311
8,5.008,2.146,213.311
9,5.008,2.249,213.311
10,5.008,2.351,213.311
11,5.008,2.657,213.311
12,5.008,2.76,213.311
13,4.899,2.858,213.02
14,4.467,2.944,211.867
15,4.574,2.948,212.154
16,4.682,2.952,212.442
17,4.899,2.96,213.02
18,4.899,3.062,213.02
19,4.899,3.266,213.02
20,4.899,3.47,213.02
21,5.008,3.68,213.311
22,5.008,3.782,213.311
23,5.008,3.986,213.311
24,5.008,4.088,213.311
25,5.008,4.191,213.311
26,5.008,4.293,213.311
27,5.008,4.395,213.311
28,5.008,4.497,213.311
29,5.008,4.599,213.311
30,5.008,4.702,213.311
31,5.008,4.804,213.311
32,5.008,4.906,213.311
33,5.008,5.008,213.311
34,5.008,5.11,213.311
35,5.008,5.315,213.311
36,5.008,5.519,213.311
37,4.899,5.614,213.02
38,5.008,5.622,213.311
39,4.899,5.716,213.02
40,4.791,5.81,212.731
41,4.899,5.818,213.02
42,4.252,5.973,211.295
43,4.359,5.981,211.581
44,4.467,5.99,211.867
45,4.574,5.998,212.154
46,4.791,6.014,212.731
47,4.791,6.116,212.731
48,4.791,6.218,212.731
49,4.791,6.32,212.731
50,4.791,6.422,212.731
51,4.791,6.524,212.731
52,4.791,6.626,212.731
53,4.791,6.727,212.731
54,4.791,6.829,212.731
55,4.791,6.931,212.731
56,4.791,7.033,212.731
57,4.791,7.135,212.731
58,4.791,7.237,212.731
59,4.791,7.339,212.731
60,4.791,7.441,212.731
61,4.791,7.543,212.731
62,4.791,7.645,212.731
63,4.791,7.747,212.731
64,4.791,7.849,212.731
65,4.791,7.951,212.731
66,4.791,8.053,212.731
67,4.791,8.155,212.731
68,4.791,8.256,212.731
69,4.791,8.358,212.731
70,4.791,8.46,212.731
71,4.791,8.562,212.731
72,4.791,8.664,212.731
73,4.791,8.766,212.731
74,4.791,8.868,212.731
75,4.791,8.97,212.731
76,4.791,9.072,212.731
77,4.791,9.174,212.731
78,4.791,9.276,212.731
79,4.791,9.378,212.731
80,4.791,9.48,212.731
81,4.791,9.582,212.731
82,4.791,9.683,212.731
83,4.791,9.887,212.731
84,4.682,9.976,212.442
85,4.682,10.179,212.442
86,4.682,10.383,212.442
87,4.682,10.485,212.442
88,4.682,10.586,212.442
89,4.682,10.688,212.442
90,4.791,10.805,212.731
91,4.791,11.009,212.731
92,4.791,11.111,212.731
93,4.791,11.212,212.731
94,4.791,11.314,212.731
95,4.791,11.416,212.731
96,4.791,11.62,212.731
97,4.359,11.659,211.581
98,4.574,11.69,212.154
99,4.791,11.722,212.731
100,4.791,11.926,212.731
101,4.791,12.13,212.731
102,4.791,12.232,212.731
103,4.791,12.334,212.731
104,4.791,12.436,212.731
105,4.791,12.538,212.731
106,4.791,12.639,212.731
107,4.791,12.741,212.731
108,4.791,12.843,212.731
109,4.791,12.945,212.731
110,4.791,13.047,212.731
111,4.791,13.149,212.731
112,4.791,13.251,212.731
113,4.791,13.353,212.731
114,4.791,13.455,212.731
115,4.791,13.557,212.731
116,4.791,13.659,212.731
117,4.791,13.761,212.731
118,4.791,13.863,212.731
119,4.791,13.965,212.731
120,4.791,14.067,212.731
121,4.791,14.168,212.731
122,4.791,14.27,212.731
123,4.791,14.372,212.731
124,4.791,14.474,212.731
125,4.791,14.576,212.731
126,4.791,14.78,212.731
127,4.791,14.984,212.731
128,4.682,15.167,212.442
129,3.933,15.125,210.443
130,4.145,15.166,211.01
131,4.252,15.187,211.295
132,4.467,15.228,211.867
133,4.682,15.371,212.442
134,4.682,15.473,212.442
135,4.682,15.574,212.442
136,4.791,15.697,212.731
137,4.791,15.901,212.731
138,4.791,16.003,212.731
139,4.791,16.105,212.731
140,4.791,16.207,212.731
141,4.791,16.309,212.731
142,4.791,16.411,212.731
143,4.791,16.513,212.731
144,4.791,16.717,212.731
145,4.791,16.819,212.731
146,4.899,16.842,213.02
147,4.899,17.046,213.02
148,4.899,17.148,213.02
149,4.899,17.25,213.02
150,4.899,17.352,213.02
151,4.899,17.454,213.02
152,4.899,17.556,213.02
153,4.899,17.658,213.02
154,4.899,17.76,213.02
155,4.899,17.862,213.02
156,4.899,17.964,213.02
157,4.899,18.066,213.02
158,4.899,18.168,213.02
159,4.899,18.373,213.02
160,4.791,18.45,212.731
161,4.791,18.653,212.731
162,4.899,18.679,213.02
163,4.899,18.781,213.02
164,4.899,18.883,213.02
165,4.899,18.985,213.02
166,4.899,19.087,213.02
167,4.899,19.189,213.02
168,4.899,19.291,213.02
169,4.899,19.393,213.02
170,4.899,19.495,213.02
171,4.899,19.597,213.02
172,4.899,19.7,213.02
173,4.899,19.802,213.02
174,4.899,19.904,213.02
175,4.899,20.006,213.02
176,4.899,20.108,213.02
177,4.899,20.21,213.02
178,4.899,20.312,213.02
179,4.899,20.414,213.02
180,4.899,20.516,213.02
181,4.899,20.618,213.02
182,4.899,20.72,213.02
183,4.899,20.822,213.02
184,4.899,20.924,213.02
185,4.899,21.026,213.02
186,4.899,21.129,213.02
187,4.899,21.231,213.02
188,4.899,21.333,213.02
189,4.899,21.435,213.02
190,4.359,21.391,211.581
191,4.467,21.42,211.867
192,4.791,21.508,212.731
193,4.791,21.609,212.731
194,4.791,21.711,212.731
195,4.791,21.915,212.731
196,4.899,21.945,213.02
197,4.899,22.047,213.02
198,4.899,22.149,213.02
199,4.899,22.251,213.02
200,4.899,22.353,213.02
201,4.899,22.455,213.02
202,4.899,22.557,213.02
203,4.899,22.66,213.02
204,4.899,22.762,213.02
205,4.899,22.966,213.02
206,5.008,23.406,213.311
207,5.008,23.61,213.311
208,5.008,23.713,213.311
209,5.008,23.815,213.311
210,5.008,23.917,213.311
211,5.008,24.019,213.311
212,5.008,24.121,213.311
213,5.008,24.224,213.311
214,5.008,24.326,213.311
215,5.008,24.428,213.311
216,5.008,24.53,213.311
217,5.008,24.632,213.311
218,5.008,24.735,213.311
219,5.008,24.837,213.311
220,5.008,24.939,213.311
221,5.008,25.041,213.311
222,5.008,25.143,213.311
223,5.008,25.246,213.311
224,5.008,25.348,213.311
225,4.899,25.62,213.02
226,4.899,25.824,213.02
227,5.008,25.961,213.311
228,5.008,26.166,213.311
229,5.008,26.268,213.311
230,5.008,26.37,213.311
231,5.008,26.472,213.311
232,5.008,26.574,213.311
233,5.008,26.677,213.311
234,5.008,26.779,213.311
235,5.008,26.881,213.311
236,5.008,26.983,213.311
237,5.008,27.188,213.311
238,4.899,27.253,213.02
239,5.008,27.29,213.311
240,4.574,27.244,212.154
241,4.791,27.318,212.731
242,4.899,27.355,213.02
243,5.008,27.494,213.311
244,5.008,27.699,213.311
245,5.008,27.801,213.311
246,5.008,27.903,213.311
247,5.008,28.005,213.311
248,5.008,28.108,213.311
249,5.008,28.21,213.311
250,5.008,28.312,213.311
251,5.008,28.414,213.311
252,5.008,28.516,213.311
253,5.008,28.619,213.311
254,5.008,28.721,213.311
255,5.008,28.823,213.311
256,5.008,28.925,213.311
257,5.008,29.027,213.311
258,5.008,29.13,213.311
259,5.008,29.232,213.311
260,5.008,29.334,213.311
261,5.008,29.538,213.311
262,5.008,29.641,213.311
263,5.008,29.743,213.311
264,5.008,29.947,213.311
265,5.008,30.152,213.311
266,5.117,30.193,213.602
267,5.117,30.295,213.602
268,5.117,30.398,213.602
269,5.117,30.5,213.602
270,5.117,30.602,213.602
271,5.117,30.705,213.602
272,5.117,30.807,213.602
273,5.117,30.909,213.602
274,5.117,31.012,213.602
275,5.117,31.114,213.602
276,5.008,31.276,213.311
277,5.008,31.48,213.311
278,5.008,31.685,213.311
279,5.117,31.83,213.602
280,5.117,31.933,213.602
