X,Y,Z
1.765,1.569,204.664
1.765,1.667,204.664
1.765,1.765,204.664
1.765,1.863,204.664
1.765,1.961,204.664
1.765,2.059,204.664
1.765,2.157,204.664
1.765,2.256,204.664
1.765,2.354,204.664
1.866,2.455,204.932
1.866,2.651,204.932
1.866,2.848,204.932
1.866,2.946,204.932
1.866,3.044,204.932
1.866,3.142,204.932
1.866,3.24,204.932
1.866,3.339,204.932
1.866,3.437,204.932
1.866,3.535,204.932
1.866,3.633,204.932
1.866,3.731,204.932
1.866,3.83,204.932
1.866,3.928,204.932
1.866,4.026,204.932
1.866,4.124,204.932
1.866,4.222,204.932
1.866,4.321,204.932
1.866,4.419,204.932
1.866,4.517,204.932
1.866,4.615,204.932
1.866,4.713,204.932
1.966,4.72,205.201
1.966,4.818,205.201
1.966,4.916,205.201
1.966,5.014,205.201
1.966,5.113,205.201
1.966,5.211,205.201
1.966,5.408,205.201
1.966,5.506,205.201
1.966,5.604,205.201
2.068,5.809,205.47
2.068,6.006,205.47
2.068,6.104,205.47
2.068,6.301,205.47
2.068,6.399,205.47
2.068,6.498,205.47
2.068,6.596,205.47
2.068,6.695,205.47
2.068,6.793,205.47
2.068,6.892,205.47
2.068,6.99,205.47
2.068,7.089,205.47
2.068,7.187,205.47
2.068,7.285,205.47
2.068,7.384,205.47
2.068,7.482,205.47
2.068,7.581,205.47
2.068,7.679,205.47
2.068,7.778,205.47
2.068,7.876,205.47
2.068,8.27,205.47
2.169,8.281,205.74
2.169,8.478,205.74
2.169,8.577,205.74
2.169,8.675,205.74
2.169,8.774,205.74
2.169,8.872,205.74
2.169,8.971,205.74
2.169,9.07,205.74
2.169,9.168,205.74
2.169,9.267,205.74
2.169,9.365,205.74
2.169,9.464,205.74
2.169,9.562,205.74
2.169,9.661,205.74
2.169,9.76,205.74
2.169,9.858,205.74
2.169,9.957,205.74
2.169,10.055,205.74
2.169,10.154,205.74
2.169,10.253,205.74
2.169,10.351,205.74
2.169,10.45,205.74
2.169,10.647,205.74
2.169,10.844,205.74
2.169,10.943,205.74
2.27,10.957,206.011
2.27,11.056,206.011
2.27,11.154,206.011
2.27,11.253,206.011
2.27,11.352,206.011
2.27,11.451,206.011
2.27,11.549,206.011
2.27,11.648,206.011
2.27,11.747,206.011
2.27,11.845,206.011
2.27,11.944,206.011
2.372,12.059,206.283
2.372,12.158,206.283
2.372,12.256,206.283
2.372,12.454,206.283
2.372,12.553,206.283
2.372,12.652,206.283
2.372,12.751,206.283
2.372,12.849,206.283
2.372,12.948,206.283
2.372,13.047,206.283
2.372,13.146,206.283
2.372,13.245,206.283
2.372,13.344,206.283
2.372,13.442,206.283
2.372,13.541,206.283
2.372,13.64,206.283
2.372,13.739,206.283
2.372,13.838,206.283
